Device Name,NDG,IP address,,Device Name,NDG,IP address,
Abdul,Proin Vel Foundation,2,,Aaron,Inceptos Hymenaeos LLC,3,
Acton,Faucibus Id LLP,9,,Aaron,A Malesuada LLP,9,
Acton,Sapien Gravida Non Inc.,9,,Aidan,Libero Nec Industries,3,Aidan
Aidan,Cras Pellentesque Sed Corporation,1,,Alan,Nec Euismod Incorporated,3,
Aidan,Nec Tellus Nunc LLC,7,,Alden,Egestas Ligula Nullam Limited,3,Alden
Alden,Velit Egestas Industries,1,,Ali,Ornare Sagittis Felis Institute,3,Ali
Ali,Dictum LLP,9,,Allen,Nunc Limited,4,
Alvin,Lacus Limited,1,,Aquila,Tincidunt Industries,10,
Armand,Mauris PC,4,,August,Aliquet Limited,10,
Armando,Non Foundation,2,,Axel,Adipiscing Lobortis Limited,6,Axel
Arthur,Mauris Corp.,2,,Barry,Ac Ipsum Phasellus Inc.,3,
Asher,Lorem Ipsum Incorporated,8,,Basil,Gravida Praesent Inc.,4,
Ashton,Sem Eget Massa LLP,2,,Beau,Quis Turpis Vitae Institute,4,
Axel,Lacinia Mattis Consulting,4,,Bernard,In Molestie Tortor Foundation,10,
Benedict,Lorem Ipsum Dolor Company,8,,Bevis,Magna Duis Inc.,3,
Berk,Proin Sed Turpis Limited,5,,Bevis,Lacinia Orci LLC,6,
Buckminster,Et Consulting,5,,Bevis,Rutrum Eu Ultrices Corp.,7,
Burton,Dui Cum Industries,6,,Bradley,Morbi Tristique Institute,6,Burton
Cadman,Ullamcorper Velit In Consulting,1,,Brenden,Eu LLP,10,
Caesar,Fusce Feugiat Associates,9,,Brian,Vel Pede Blandit Consulting,1,
Cairo,Nec Euismod Corporation,9,,Burton,At LLP,6,
Castor,Mauris PC,8,,Cairo,Vestibulum Accumsan Neque PC,8,Cairo
Cedric,Morbi Corp.,4,,Carlos,Dui Inc.,6,
Clayton,Nunc Corporation,4,,Castor,Vitae Consulting,7,Castor
Clinton,Integer Vitae LLC,1,,Chandler,Sit Corporation,6,
Daniel,Congue Turpis PC,9,,Christopher,Urna LLP,5,
Dante,Turpis Ltd,9,,Cyrus,Molestie Dapibus Ligula Limited,1,
Daquan,Ligula Aenean Gravida Associates,7,,Cyrus,Adipiscing Inc.,4,
David,Iaculis Nec Eleifend Inc.,4,,Damon,Vulputate Mauris Sagittis Consulting,3,
Dean,Accumsan Foundation,5,,Deacon,Pede Praesent Eu Incorporated,10,
Derek,Malesuada Integer Id Foundation,3,,Dillon,Dis Parturient LLC,4,
Dustin,Nec Urna Company,6,,Dolan,Ligula Ltd,6,
Dylan,Sed Malesuada Augue Ltd,1,,Donovan,Cras Interdum Company,4,
Eaton,In Limited,1,,Dylan,Est Ac LLC,7,Dylan
Edward,Magna Nec Institute,4,,Eaton,Tellus Phasellus Industries,2,Eaton
Elvis,In Faucibus LLC,4,,Eaton,Lacus Cras Interdum LLC,4,
Emmanuel,Tristique Ac Eleifend Company,6,,Finn,Lacus Foundation,8,
Evan,Lorem Ltd,5,,Gannon,Mus Ltd,4,
Gage,Elit Pellentesque A Consulting,3,,George,Egestas A LLP,7,George
Gareth,Duis Elementum Dui Incorporated,9,,Grady,Fermentum Foundation,8,Grady
George,Auctor Velit Foundation,2,,Graham,Sodales At Velit Associates,6,Graham
Grady,Sed Foundation,4,,Griffin,Nulla Integer Vulputate Ltd,10,
Graham,Lorem Ac Risus Associates,3,,Guy,Auctor Vitae Aliquet Incorporated,4,
Gray,Duis Cursus Diam Institute,5,,Hakeem,Sed Facilisis Vitae Ltd,6,Hakeem
Hakeem,Velit Eu Ltd,3,,Harrison,Vitae LLP,7,Harrison
Hall,Elementum Consulting,2,,Herman,Luctus Vulputate Foundation,10,Herman
Harper,In Aliquet Incorporated,5,,Honorato,Nisi Ltd,2,Honorato
Harrison,Egestas Aliquam Limited,1,,Hop,Mauris Industries,1,
Hayes,Aptent Taciti Inc.,7,,Hyatt,Adipiscing Incorporated,8,
Herman,Magna Duis Dignissim PC,3,,Ishmael,Tortor Integer Institute,4,
Holmes,Donec Incorporated,7,,Ivan,Dolor Company,1,
Holmes,Facilisis Suspendisse Institute,7,,Jacob,Ante Lectus Incorporated,3,Jacob
Honorato,Varius Et Euismod Consulting,7,,Jason,Augue Corporation,1,
Igor,Duis Mi Enim Ltd,1,,Jerome,A Aliquet Corp.,5,Jerome
Isaac,Ipsum Ltd,5,,Jerome,Non Limited,9,
Jacob,Suspendisse Aliquet Sem PC,9,,Jonah,Pharetra Ut Foundation,5,Jonah
Jakeem,Sem Limited,1,,Joseph,Libero PC,6,
Jerome,Id Enim Incorporated,3,,Joshua,Eu Arcu Morbi Corp.,1,
Jonah,Neque Sed Corp.,9,,Kane,Pellentesque Sed Dictum Consulting,3,
Jordan,At Lacus Limited,1,,Keefe,Felis Corporation,2,
Kaseem,Est Nunc Laoreet Consulting,8,,Kenneth,Tortor Associates,6,
Kasimir,In LLC,4,,Laith,Eget Lacus Mauris Incorporated,9,
Kyle,Nunc Consulting,1,,Lee,Donec Company,6,
Lane,Dui Ltd,2,,Lester,Interdum Incorporated,10,
Linus,Orci Industries,8,,Magee,Mi Tempor Corporation,10,
Macon,Quisque Purus Incorporated,8,,Malachi,Ut LLC,4,
Marshall,Nulla Corp.,7,,Malcolm,Vulputate Ullamcorper Magna Corp.,8,
Mason,Ante Ipsum Primis Inc.,9,,Malik,Non Associates,7,
Mohammad,Risus Quisque Company,4,,Marshall,Ornare In Faucibus Limited,6,Marshall
Myles,Morbi Tristique Senectus LLC,6,,Matthew,Elementum Dui Corp.,6,
Nash,Dui Suspendisse PC,2,,Melvin,Aliquet Odio Etiam Limited,9,
Nash,Proin Ultrices Duis Corp.,3,,Melvin,Penatibus Et Magnis PC,3,
Nathan,Pretium Neque Morbi Ltd,3,,Mufutau,Commodo Consulting,4,
Nissim,Lectus Industries,8,,Mufutau,Nibh Dolor Inc.,6,
Oren,Cras Interdum Nunc Ltd,10,,Nicholas,A LLC,4,
Perry,Luctus LLC,4,,Orson,Ut Tincidunt Vehicula LLC,6,
Prescott,Orci PC,9,,Paul,Aliquet Ltd,9,
Raja,Auctor Nunc Incorporated,8,,Peter,Dictum Associates,3,
Rajah,Nulla Facilisis Suspendisse Associates,3,,Rafael,Vestibulum Foundation,5,
Raphael,Ultrices A Auctor Foundation,9,,Robert,Nec Orci Limited,8,Robert
Raphael,Id Ante Limited,4,,Rogan,Vulputate PC,1,
Rigel,Eu Tellus PC,10,,Ronan,Ante Dictum Inc.,7,
Robert,Vitae Velit Inc.,8,,Rooney,A Felis LLC,3,
Samuel,Cras Incorporated,6,,Samuel,Euismod Ltd,6,Samuel
Solomon,Mollis Nec Limited,2,,Samuel,Convallis Erat PC,6,
Solomon,Pellentesque A Ltd,6,,Scott,Vitae Orci Corp.,10,
Solomon,Molestie PC,6,,Scott,Duis Gravida Praesent LLP,3,
Stewart,Lectus Nullam Inc.,4,,Stone,Ut Limited,4,Stone
Stone,Nam Consequat Dolor Institute,6,,Stuart,Vitae Nibh Donec Foundation,10,Stuart
Stuart,At LLC,1,,Travis,Donec Tincidunt Foundation,3,Travis
Theodore,Nibh Vulputate Corp.,1,,Trey,Smith,12,Trey
Travis,Phasellus Dolor Incorporated,8,,Vaughan,Dolor Fusce Feugiat Corporation,8,
Trey,Smith,12,,Walker,Vivamus Institute,10,
Tyrone,Elit Pharetra Ut LLC,3,,Warren,Est Corporation,3,Warren
Ulysses,A Ultricies Adipiscing Associates,10,,Wayne,Nulla Eu Neque Corporation,9,
Warren,Montes Nascetur Ridiculus Industries,1,,Wesley,Proin Nisl Foundation,2,
William,Elit Corp.,3,,Xavier,Nunc Sed LLP,9,
Xander,Netus Et PC,8,,Xavier,Libero Et Tristique Institute,2,
Xenos,Dolor Nulla Institute,3,,Zahir,Donec Company,5,
Zachery,Mauris Eu Elit Incorporated,9,,Zeph,Ridiculus Mus Proin PC,6,
